nombre;etiqueta;provincia;entidad;latitud;longitud;criterio_ubicacion
Cuéllar;Cuéllar;Segovia;;41.400000;-4.313000;Ubicación aproximada.
Padilla de Abajo;Padilla de Abajo;Burgos;;42.409000;-4.176800;Ubicación aproximada.
Villadiego;Villadiego;Burgos;;42.515812;-4.009884;Ubicación aproximada.
Aldeamayor de San Martín;Aldeamayor de San Martín;Valladolid;;41.512190;-4.639890;Ubicación aproximada.
Valladolid;Valladolid (PRAE);Valladolid;PRAE – Propuestas Ambientales y Educativas;41.604177;-4.762934;Sede de la entidad embajadora.
Castronuño;Castronuño;Valladolid;;41.388770;-5.263320;Ubicación aproximada.
Tabanera de Cerrato;Tabanera de Cerrato;Palencia;;42.024780;-4.123460;Ubicación aproximada.
Herrera de Pisuerga;Herrera de Pisuerga;Palencia;;42.593056;-4.332222;Ubicación aproximada.
Amayuelas de Abajo;Amayuelas de Abajo;Palencia;;42.204620;-4.495750;Ubicación aproximada.
Castrillo de Villavega;Castrillo de Villavega;Palencia;;42.454297;-4.479982;Ubicación aproximada.
Palencia;Palencia (ITAGRA.CT);Palencia;ITAGRA.CT;41.985800;-4.516950;Sede de la entidad embajadora.
